"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 17, 2017","708.78","683.25","725.00","683.24","210.62K","3.74"
"Dec 16, 2017","683.25","678.29","711.96","672.51","200.94K","0.73"
"Dec 15, 2017","678.29","686.51","698.31","610.00","360.05K","-1.20"
"Dec 14, 2017","686.51","690.69","760.00","651.00","494.41K","-0.61"
"Dec 13, 2017","690.69","634.87","742.00","573.00","686.14K","8.79"
"Dec 12, 2017","634.87","515.25","646.92","497.75","425.21K","23.22"
"Dec 11, 2017","515.25","429.24","531.20","429.14","224.21K","20.04"
"Dec 10, 2017","429.24","460.92","460.92","413.30","250.23K","-6.87"
"Dec 09, 2017","460.92","442.19","487.80","441.00","322.50K","4.24"
"Dec 08, 2017","442.19","415.02","453.61","400.34","318.98K","6.55"
"Dec 07, 2017","415.02","413.71","429.00","390.00","322.00K","0.32"
"Dec 06, 2017","413.71","451.87","454.23","403.00","367.19K","-8.44"
"Dec 05, 2017","451.87","465.00","467.38","444.17","187.53K","-2.82"
"Dec 04, 2017","465.00","459.49","471.06","439.27","123.19K","1.20"
"Dec 03, 2017","459.49","455.51","482.69","431.04","137.97K","0.87"
"Dec 02, 2017","455.51","460.67","472.00","447.00","135.33K","-1.12"
"Dec 01, 2017","460.67","432.21","467.00","413.96","169.74K","6.58"
"Nov 30, 2017","432.21","420.34","454.95","385.40","224.57K","2.82"
"Nov 29, 2017","420.34","465.56","517.00","403.01","228.93K","-9.71"
"Nov 28, 2017","465.56","473.44","479.00","457.20","153.81K","-1.66"
"Nov 27, 2017","473.44","464.00","491.89","458.25","191.77K","2.03"
"Nov 26, 2017","464.00","464.00","464.00","464.00","0","0.00"
"Nov 25, 2017","464.00","469.89","481.99","454.40","168.49K","-1.38"
"Nov 24, 2017","470.51","405.19","478.50","397.37","258.20K","16.12"
"Nov 23, 2017","405.19","380.48","426.27","374.34","264.29K","6.49"
"Nov 22, 2017","380.48","360.00","381.89","358.80","138.90K","5.69"
"Nov 21, 2017","360.00","367.94","373.50","350.00","199.14K","-2.16"
"Nov 20, 2017","367.94","354.70","373.70","352.03","148.45K","3.73"
"Nov 19, 2017","354.70","346.68","371.00","343.28","176.58K","2.31"
"Nov 18, 2017","346.68","331.00","350.40","325.32","148.23K","4.74"
"Nov 17, 2017","331.00","331.16","335.01","325.00","151.63K","0.07"
"Nov 16, 2017","330.76","330.59","335.11","321.18","149.13K","0.05"
"Nov 15, 2017","330.59","334.28","339.61","321.50","167.05K","-1.10"
"Nov 14, 2017","334.28","313.22","336.69","313.22","244.03K","6.72"
"Nov 13, 2017","313.22","303.90","318.00","302.40","198.96K","3.07"
"Nov 12, 2017","303.90","313.07","316.99","293.33","251.26K","-2.93"
"Nov 11, 2017","313.07","296.18","319.88","294.70","172.77K","5.70"
"Nov 10, 2017","296.18","319.52","324.03","286.00","331.44K","-7.30"
"Nov 09, 2017","319.52","307.50","328.80","305.00","251.77K","3.91"
"Nov 08, 2017","307.50","291.42","318.90","290.11","335.69K","5.52"
"Nov 07, 2017","291.42","296.90","304.20","285.01","216.51K","-1.85"
"Nov 06, 2017","296.90","295.63","310.00","292.00","159.37K","0.43"
"Nov 05, 2017","295.63","299.48","301.00","292.28","98.63K","-1.29"
"Nov 04, 2017","299.48","303.47","304.38","293.00","132.54K","-1.31"
"Nov 03, 2017","303.47","284.89","307.36","284.00","217.42K","6.52"
"Nov 02, 2017","284.89","288.60","293.01","275.21","260.22K","-1.29"
"Nov 01, 2017","288.60","303.69","305.11","287.04","153.84K","-4.97"
"Oct 31, 2017","303.69","307.00","312.00","303.10","81.66K","-1.08"
"Oct 30, 2017","307.00","304.39","314.40","303.93","86.21K","0.86"
"Oct 29, 2017","304.39","293.49","312.49","290.50","166.62K","3.71"
"Oct 28, 2017","293.49","295.99","297.01","288.60","70.22K","-0.84"
"Oct 27, 2017","295.99","295.10","299.50","291.60","68.47K","0.30"
"Oct 26, 2017","295.10","295.46","299.00","290.55","59.36K","-0.12"
"Oct 25, 2017","295.46","296.30","300.00","288.50","94.09K","-0.28"
"Oct 24, 2017","296.30","284.85","311.85","280.02","216.67K","4.02"
"Oct 23, 2017","284.85","293.55","293.96","273.50","170.70K","-2.96"
"Oct 22, 2017","293.55","299.23","305.62","289.40","95.45K","-1.90"
"Oct 21, 2017","299.23","302.61","303.00","289.31","105.32K","-1.12"
"Oct 20, 2017","302.61","306.97","313.01","301.04","118.80K","-1.42"
"Oct 19, 2017","306.97","313.45","316.50","304.00","118.04K","-2.07"
"Oct 18, 2017","313.45","315.65","316.21","287.46","252.92K","-0.70"
"Oct 17, 2017","315.65","334.46","334.80","308.00","191.86K","-5.62"
"Oct 16, 2017","334.46","337.23","355.00","330.85","270.07K","-0.82"
"Oct 15, 2017","337.23","339.24","344.89","315.00","250.08K","-0.59"
"Oct 14, 2017","339.24","337.46","348.00","334.05","151.02K","0.53"
"Oct 13, 2017","337.46","303.06","350.00","298.00","383.16K","11.35"
"Oct 12, 2017","303.06","303.20","310.01","302.10","185.68K","-0.05"
"Oct 11, 2017","303.20","299.32","306.55","296.60","116.31K","1.30"
"Oct 10, 2017","299.32","297.40","307.00","292.57","104.64K","0.65"
"Oct 09, 2017","297.40","309.82","311.16","287.03","180.23K","-4.01"
"Oct 08, 2017","309.82","311.46","314.39","307.55","103.78K","-0.53"
"Oct 07, 2017","311.46","308.43","315.00","304.50","117.03K","0.98"
"Oct 06, 2017","308.43","295.12","309.59","293.04","106.64K","4.51"
"Oct 05, 2017","295.12","291.40","297.92","285.12","90.80K","1.28"
"Oct 04, 2017","291.40","291.69","296.00","287.56","112.70K","-0.10"
"Oct 03, 2017","291.69","296.82","300.50","285.93","129.15K","-1.73"
"Oct 02, 2017","296.82","304.26","304.63","292.10","133.99K","-2.45"
"Oct 01, 2017","304.26","303.44","305.57","295.00","110.10K","0.27"
"Sep 30, 2017","303.44","292.66","307.76","292.30","131.20K","3.68"
"Sep 29, 2017","292.66","302.63","303.90","280.50","276.12K","-3.29"
"Sep 28, 2017","302.63","309.75","310.69","297.75","140.29K","-2.30"
"Sep 27, 2017","309.75","289.28","315.51","286.93","213.82K","7.08"
"Sep 26, 2017","289.28","295.20","296.38","285.20","104.72K","-2.01"
"Sep 25, 2017","295.20","282.00","297.93","281.80","186.37K","4.68"
"Sep 24, 2017","282.00","285.90","294.54","275.41","196.56K","-1.36"
"Sep 23, 2017","285.90","262.19","287.20","259.01","162.98K","9.04"
"Sep 22, 2017","262.19","256.67","269.50","253.03","183.77K","2.15"
"Sep 21, 2017","256.67","283.50","287.53","251.52","292.98K","-9.46"
"Sep 20, 2017","283.50","282.63","294.00","277.00","146.38K","0.31"
"Sep 19, 2017","282.63","296.81","299.00","275.00","268.88K","-4.78"
"Sep 18, 2017","296.81","257.00","299.89","257.00","378.67K","15.49"
"Sep 17, 2017","257.00","253.00","263.69","239.00","195.92K","1.58"
"Sep 16, 2017","253.00","258.68","270.00","242.20","308.48K","-2.20"
"Sep 15, 2017","258.68","222.50","269.00","198.00","954.56K","16.26"
"Sep 14, 2017","222.50","275.48","281.01","221.71","642.98K","-19.23"
"Sep 13, 2017","275.48","293.90","294.16","256.00","449.34K","-6.27"
"Sep 12, 2017","293.90","297.19","316.73","283.00","261.52K","-1.11"
"Sep 11, 2017","297.19","297.90","308.00","287.33","174.01K","-0.24"
"Sep 10, 2017","297.90","303.08","305.00","276.11","254.70K","-1.71"
"Sep 09, 2017","303.08","304.00","307.08","291.46","169.79K","-0.30"
"Sep 08, 2017","304.00","334.10","334.58","291.00","309.62K","-9.01"
"Sep 07, 2017","334.10","337.36","338.66","321.10","166.57K","-0.97"
"Sep 06, 2017","337.36","316.18","339.50","314.81","230.11K","6.70"
"Sep 05, 2017","316.18","295.81","323.17","267.64","381.67K","6.89"
"Sep 04, 2017","295.81","350.63","351.59","275.00","569.73K","-15.63"
"Sep 03, 2017","350.63","345.00","368.40","328.33","212.17K","1.63"
"Sep 02, 2017","345.00","390.35","390.77","325.10","308.36K","-11.62"
"Sep 01, 2017","390.35","387.30","395.03","383.60","131.80K","0.79"
"Aug 31, 2017","387.30","382.78","390.00","380.10","98.59K","1.18"
"Aug 30, 2017","382.78","372.00","390.10","365.10","188.64K","2.90"
"Aug 29, 2017","372.00","347.09","375.98","346.42","180.48K","7.18"
"Aug 28, 2017","347.09","348.01","352.00","332.74","111.21K","-0.26"
"Aug 27, 2017","348.01","332.72","348.01","331.88","103.44K","4.60"
"Aug 26, 2017","332.72","328.70","334.60","324.50","90.18K","1.22"
"Aug 25, 2017","328.70","325.62","338.25","324.04","108.00K","0.95"
"Aug 24, 2017","325.62","316.50","329.56","314.14","93.42K","2.88"
"Aug 23, 2017","316.50","312.54","325.00","311.65","115.09K","1.27"
"Aug 22, 2017","312.54","322.24","329.96","285.01","244.94K","-3.01"
"Aug 21, 2017","322.24","298.37","346.99","294.53","329.81K","8.00"
"Aug 20, 2017","298.37","292.78","299.00","286.96","86.96K","1.91"
"Aug 19, 2017","292.78","292.00","298.51","280.00","158.37K","0.27"
"Aug 18, 2017","292.00","299.00","307.00","286.00","165.16K","-2.34"
"Aug 17, 2017","299.00","301.34","312.00","297.01","133.09K","-0.78"
"Aug 16, 2017","301.34","286.00","304.00","279.94","150.43K","5.36"
"Aug 15, 2017","286.00","298.22","299.91","272.29","179.77K","-4.10"
"Aug 14, 2017","298.22","296.64","306.48","293.99","106.08K","0.53"
"Aug 13, 2017","296.64","307.22","308.00","285.21","166.56K","-3.44"
"Aug 12, 2017","307.22","308.81","319.78","299.00","160.55K","-0.51"
"Aug 11, 2017","308.81","295.97","310.42","294.00","130.15K","4.34"
"Aug 10, 2017","295.97","293.99","310.05","287.60","155.41K","0.67"
"Aug 09, 2017","293.99","295.83","316.00","277.00","400.20K","-0.62"
"Aug 08, 2017","295.83","269.51","299.50","265.00","207.56K","9.77"
"Aug 07, 2017","269.51","264.29","274.60","257.32","146.17K","1.98"
"Aug 06, 2017","264.29","253.87","271.50","251.00","209.86K","4.10"
"Aug 05, 2017","253.87","220.73","259.90","219.23","234.87K","15.01"
"Aug 04, 2017","220.73","224.79","228.30","218.66","83.46K","-1.81"
"Aug 03, 2017","224.79","218.00","228.20","217.07","96.19K","3.11"
"Aug 02, 2017","218.00","225.97","229.70","215.00","159.47K","-3.53"
"Aug 01, 2017","225.97","200.81","232.59","200.80","352.31K","12.53"
"","","","","","",""
"","Highest:1,423.20","Lowest:198.00","Difference:1,225.20","Average:523.64","Change %:361.29"
